450	512.41
448.21	504.41
446.43	506.62
445.24	511.31
445.24	503.31
443.45	502.76
441.67	532
440.48	599.31
438.69	651.45
434.52	635.72
430.95	565.93
426.79	511.31
422.02	500
419.05	511.03
415.48	510.21
412.5	504.41
408.33	501.38
405.95	510.21
402.98	513.52
400.6	509.1
398.81	507.72
400.6	515.45
405.36	518.21
419.05	514.34
447.62	515.45
483.33	520.14
519.64	522.07
554.76	516.28
588.1	522.07
617.26	523.45
644.05	518.21
669.05	515.45
691.67	530.07
712.5	535.03
730.95	538.07
746.43	543.03
759.52	548.28
769.64	550.76
776.79	555.17
781.55	560.69
783.33	562.34
783.33	560.97
781.55	557.66
777.38	555.72
773.81	545.52
767.26	532.55
759.52	530.07
751.19	528.14
742.86	521.24
732.74	515.72
719.64	513.52
706.55	514.62
689.88	509.38
671.43	506.07
650	511.03
629.17	513.79
607.74	511.03
589.29	508
575	510.48
561.31	509.93
548.21	508
538.69	510.21
529.17	515.72
521.43	512.41
514.88	511.59
508.93	515.72
502.98	518.21
497.62	517.38
492.86	513.24
487.5	517.38
482.14	516.55
479.17	514.9
476.79	513.52
475	519.03
474.4	517.38
473.81	508
473.81	512.97
472.62	519.03
472.02	518.21
472.02	513.24
471.43	517.38
471.43	525.66
469.64	523.17
469.05	526.76
467.26	530.07
464.29	531.17
462.5	528.69
459.52	531.72
458.93	532
455.36	524.55
452.98	519.86
451.79	526.48
450	526.48
449.4	514.9
446.43	506.62
445.24	511.59
442.86	514.62
440.48	514.34
438.1	510.48
435.71	512.41
433.33	512.41
430.36	506.62
426.79	503.31
424.4	536.97
421.43	604.55
419.64	659.17
416.67	640.41
414.29	565.1
410.12	514.62
407.14	509.38
405.36	519.86
402.38	518.76
400	507.72
396.43	511.59
394.64	519.31
391.07	517.66
388.69	514.34
386.9	514.9
388.1	518.21
392.26	521.24
403.57	519.03
431.55	519.03
467.26	522.07
504.76	519.86
541.07	522.07
573.81	526.48
604.76	528.97
630.95	529.24
655.36	532.55
676.79	540.83
695.83	541.1
714.29	544.14
729.17	552.14
742.86	558.21
754.76	562.07
764.29	560.97
769.64	569.79
772.02	573.1
771.43	565.38
768.45	561.79
762.5	562.9
755.36	555.17
747.62	544.14
738.69	538.9
729.17	533.1
719.64	530.07
708.33	521.24
695.83	521.24
682.14	522.34
667.26	522.07
648.21	517.93
628.57	519.31
607.14	517.66
586.31	517.38
567.26	519.31
551.19	524.28
536.9	523.17
524.4	516.83
512.5	519.03
502.38	526.21
493.45	520.69
485.71	520.97
478.57	524.28
473.81	528.14
469.05	521.24
464.29	523.45
460.12	525.38
456.55	527.03
452.38	524.28
448.21	526.21
443.45	528.14
440.48	526.76
438.69	522.07
436.9	520.69
438.69	524.83
440.48	521.79
441.07	516.83
442.86	516.55
443.45	523.45
441.67	520.69
440.48	516.83
436.31	523.17
433.33	529.24
430.36	524.83
427.38	525.38
426.19	529.24
424.4	534.21
423.81	528.14
422.62	527.86
421.43	526.21
419.64	526.21
418.45	519.86
416.67	523.45
414.29	520.69
411.9	514.62
409.52	510.21
407.14	513.52
405.36	515.72
402.38	513.24
400.6	510.48
397.62	511.03
395.83	508.83
393.45	503.31
391.07	520.14
389.29	586.07
386.9	650.34
385.12	645.66
383.33	574.21
381.55	513.24
378.57	504.69
376.19	510.76
373.81	508.83
370.83	510.48
367.26	511.03
366.67	514.9
365.48	514.62
365.48	513.52
365.48	514.62
367.26	509.38
370.24	515.45
381.55	519.31
405.36	519.03
439.88	516.83
477.98	514.34
514.88	524.28
550	527.86
581.55	524.55
611.31	527.03
637.5	533.38
661.31	536.41
681.55	532.55
699.4	536.69
714.29	550.76
726.19	555.45
735.71	554.34
743.45	557.1
748.21	562.07
750	567.59
750.6	561.79
748.81	560.97
745.83	561.52
740.48	553.24
733.93	541.93
726.19	538.62
716.67	535.31
707.14	532.28
695.83	525.38
683.33	525.66
669.05	523.45
652.98	522.07
633.93	518.76
613.1	519.31
592.26	519.86
569.64	517.38
551.19	515.45
535.71	518.76
521.43	523.45
509.52	517.38
498.81	519.31
490.48	521.79
481.55	522.07
472.62	520.97
464.88	517.66
457.74	523.17
450	522.07
444.05	522.07
438.69	522.34
434.52	526.48
431.55	524.55
429.17	523.45
426.79	520.69
426.19	524.83
425	522.9
424.4	523.45
423.81	522.9
423.81	524.28
422.02	522.9
421.43	519.86
421.43	526.76
421.43	525.66
421.43	522.07
422.02	519.86
421.43	526.48
421.43	532.28
420.83	533.1
419.05	531.17
417.26	533.1
415.48	536.97
414.88	534.48
413.69	534.21
411.9	533.38
410.12	530.07
407.14	526.76
404.76	525.66
400.6	527.03
